areaType,areaName,areaCode,date,hospitalCases
nation,Northern Ireland,N92000002,2020-12-21,657
nation,Northern Ireland,N92000002,2020-12-20,653
nation,Northern Ireland,N92000002,2020-12-19,639
nation,Northern Ireland,N92000002,2020-12-18,630
nation,Northern Ireland,N92000002,2020-12-17,640
nation,Northern Ireland,N92000002,2020-12-16,659
nation,Northern Ireland,N92000002,2020-12-15,662
nation,Northern Ireland,N92000002,2020-12-14,650
nation,Northern Ireland,N92000002,2020-12-13,635
nation,Northern Ireland,N92000002,2020-12-12,615
nation,Northern Ireland,N92000002,2020-12-11,597
nation,Northern Ireland,N92000002,2020-12-10,613
nation,Northern Ireland,N92000002,2020-12-09,610
nation,Northern Ireland,N92000002,2020-12-08,631
nation,Northern Ireland,N92000002,2020-12-07,614
nation,Northern Ireland,N92000002,2020-12-06,620
nation,Northern Ireland,N92000002,2020-12-05,607
nation,Northern Ireland,N92000002,2020-12-04,599
nation,Northern Ireland,N92000002,2020-12-03,592
nation,Northern Ireland,N92000002,2020-12-02,592
nation,Northern Ireland,N92000002,2020-12-01,612
nation,Northern Ireland,N92000002,2020-11-30,616
nation,Northern Ireland,N92000002,2020-11-29,617
nation,Northern Ireland,N92000002,2020-11-28,597
nation,Northern Ireland,N92000002,2020-11-27,589
nation,Northern Ireland,N92000002,2020-11-26,595
nation,Northern Ireland,N92000002,2020-11-25,608
nation,Northern Ireland,N92000002,2020-11-24,607
nation,Northern Ireland,N92000002,2020-11-23,610
nation,Northern Ireland,N92000002,2020-11-22,635
nation,Northern Ireland,N92000002,2020-11-21,626
nation,Northern Ireland,N92000002,2020-11-20,614
nation,Northern Ireland,N92000002,2020-11-19,626
nation,Northern Ireland,N92000002,2020-11-18,631
nation,Northern Ireland,N92000002,2020-11-17,631
nation,Northern Ireland,N92000002,2020-11-16,642
nation,Northern Ireland,N92000002,2020-11-15,629
nation,Northern Ireland,N92000002,2020-11-14,618
nation,Northern Ireland,N92000002,2020-11-13,615
nation,Northern Ireland,N92000002,2020-11-12,635
nation,Northern Ireland,N92000002,2020-11-11,643
nation,Northern Ireland,N92000002,2020-11-10,645
nation,Northern Ireland,N92000002,2020-11-09,623
nation,Northern Ireland,N92000002,2020-11-08,627
nation,Northern Ireland,N92000002,2020-11-07,600
nation,Northern Ireland,N92000002,2020-11-06,593
nation,Northern Ireland,N92000002,2020-11-05,601
nation,Northern Ireland,N92000002,2020-11-04,607
nation,Northern Ireland,N92000002,2020-11-03,611
nation,Northern Ireland,N92000002,2020-11-02,604
nation,Northern Ireland,N92000002,2020-11-01,592
nation,Northern Ireland,N92000002,2020-10-31,577
nation,Northern Ireland,N92000002,2020-10-30,557
nation,Northern Ireland,N92000002,2020-10-29,562
nation,Northern Ireland,N92000002,2020-10-28,549
nation,Northern Ireland,N92000002,2020-10-27,555
nation,Northern Ireland,N92000002,2020-10-26,544
nation,Northern Ireland,N92000002,2020-10-25,544
nation,Northern Ireland,N92000002,2020-10-24,524
nation,Northern Ireland,N92000002,2020-10-23,498
nation,Northern Ireland,N92000002,2020-10-22,481
nation,Northern Ireland,N92000002,2020-10-21,464
nation,Northern Ireland,N92000002,2020-10-20,464
nation,Northern Ireland,N92000002,2020-10-19,443
nation,Northern Ireland,N92000002,2020-10-18,433
nation,Northern Ireland,N92000002,2020-10-17,407
nation,Northern Ireland,N92000002,2020-10-16,373
nation,Northern Ireland,N92000002,2020-10-15,349
nation,Northern Ireland,N92000002,2020-10-14,331
nation,Northern Ireland,N92000002,2020-10-13,316
nation,Northern Ireland,N92000002,2020-10-12,297
nation,Northern Ireland,N92000002,2020-10-11,289
nation,Northern Ireland,N92000002,2020-10-10,264
nation,Northern Ireland,N92000002,2020-10-09,243
nation,Northern Ireland,N92000002,2020-10-08,243
nation,Northern Ireland,N92000002,2020-10-07,230
nation,Northern Ireland,N92000002,2020-10-06,215
nation,Northern Ireland,N92000002,2020-10-05,197
nation,Northern Ireland,N92000002,2020-10-04,180
nation,Northern Ireland,N92000002,2020-10-03,165
nation,Northern Ireland,N92000002,2020-10-02,147
nation,Northern Ireland,N92000002,2020-10-01,153
nation,Northern Ireland,N92000002,2020-09-30,146
nation,Northern Ireland,N92000002,2020-09-29,138
nation,Northern Ireland,N92000002,2020-09-28,134
nation,Northern Ireland,N92000002,2020-09-27,118
nation,Northern Ireland,N92000002,2020-09-26,109
nation,Northern Ireland,N92000002,2020-09-25,100
nation,Northern Ireland,N92000002,2020-09-24,100
nation,Northern Ireland,N92000002,2020-09-23,97
nation,Northern Ireland,N92000002,2020-09-22,92
nation,Northern Ireland,N92000002,2020-09-21,87
nation,Northern Ireland,N92000002,2020-09-20,79
nation,Northern Ireland,N92000002,2020-09-19,73
nation,Northern Ireland,N92000002,2020-09-18,72
nation,Northern Ireland,N92000002,2020-09-17,71
nation,Northern Ireland,N92000002,2020-09-16,72
nation,Northern Ireland,N92000002,2020-09-15,74
nation,Northern Ireland,N92000002,2020-09-14,74
nation,Northern Ireland,N92000002,2020-09-13,71
nation,Northern Ireland,N92000002,2020-09-12,65
nation,Northern Ireland,N92000002,2020-09-11,61
nation,Northern Ireland,N92000002,2020-09-10,58
nation,Northern Ireland,N92000002,2020-09-09,56
nation,Northern Ireland,N92000002,2020-09-08,57
nation,Northern Ireland,N92000002,2020-09-07,53
nation,Northern Ireland,N92000002,2020-09-06,54
nation,Northern Ireland,N92000002,2020-09-05,51
nation,Northern Ireland,N92000002,2020-09-04,51
nation,Northern Ireland,N92000002,2020-09-03,52
nation,Northern Ireland,N92000002,2020-09-02,52
nation,Northern Ireland,N92000002,2020-09-01,58
nation,Northern Ireland,N92000002,2020-08-31,58
nation,Northern Ireland,N92000002,2020-08-30,53
nation,Northern Ireland,N92000002,2020-08-29,54
nation,Northern Ireland,N92000002,2020-08-28,52
nation,Northern Ireland,N92000002,2020-08-27,49
nation,Northern Ireland,N92000002,2020-08-26,46
nation,Northern Ireland,N92000002,2020-08-25,52
nation,Northern Ireland,N92000002,2020-08-24,55
nation,Northern Ireland,N92000002,2020-08-23,51
nation,Northern Ireland,N92000002,2020-08-22,50
nation,Northern Ireland,N92000002,2020-08-21,51
nation,Northern Ireland,N92000002,2020-08-20,50
nation,Northern Ireland,N92000002,2020-08-19,45
nation,Northern Ireland,N92000002,2020-08-18,40
nation,Northern Ireland,N92000002,2020-08-17,36
nation,Northern Ireland,N92000002,2020-08-16,30
nation,Northern Ireland,N92000002,2020-08-15,30
nation,Northern Ireland,N92000002,2020-08-14,29
nation,Northern Ireland,N92000002,2020-08-13,29
nation,Northern Ireland,N92000002,2020-08-12,27
