Date,Number of Bicycle Hires
27/02/2013,21484
28/02/2013,21985
01/03/2013,19487
02/03/2013,15265
03/03/2013,14520
04/03/2013,23036
05/03/2013,27054
06/03/2013,24324
07/03/2013,17322
08/03/2013,13843
09/03/2013,14244
10/03/2013,10163
11/03/2013,16546
12/03/2013,18794
13/03/2013,20245
14/03/2013,21984
15/03/2013,17159
16/03/2013,9190
17/03/2013,7940
18/03/2013,15852
19/03/2013,22479
20/03/2013,22216
21/03/2013,22061
22/03/2013,16233
23/03/2013,5249
24/03/2013,6786
25/03/2013,17290
26/03/2013,18384
27/03/2013,19184
28/03/2013,18052
29/03/2013,10909
30/03/2013,9793
31/03/2013,9007
01/04/2013,9421
02/04/2013,19148
03/04/2013,17801
04/04/2013,15626
05/04/2013,18059
06/04/2013,18216
07/04/2013,18090
08/04/2013,21797
09/04/2013,17555
10/04/2013,22233
11/04/2013,19240
12/04/2013,15100
13/04/2013,11291
14/04/2013,25074
15/04/2013,24923
16/04/2013,26060
17/04/2013,25730
18/04/2013,23979
19/04/2013,24297
20/04/2013,26724
21/04/2013,22466
22/04/2013,25384
23/04/2013,31359
24/04/2013,30193
25/04/2013,32000
26/04/2013,23125
27/04/2013,17337
28/04/2013,19139
29/04/2013,27644
30/04/2013,29219
01/05/2013,31175
02/05/2013,31239
03/05/2013,31340
04/05/2013,19156
05/05/2013,24342
06/05/2013,29015
07/05/2013,30707
08/05/2013,26032
09/05/2013,24250
10/05/2013,26399
11/05/2013,16627
12/05/2013,15918
13/05/2013,24836
14/05/2013,18054
15/05/2013,24015
16/05/2013,26070
17/05/2013,24932
18/05/2013,22272
19/05/2013,23994
20/05/2013,25914
21/05/2013,27649
22/05/2013,26967
23/05/2013,24701
24/05/2013,12891
25/05/2013,21087
26/05/2013,27251
27/05/2013,25819
28/05/2013,14556
29/05/2013,21440
30/05/2013,22150
31/05/2013,29136
01/06/2013,24782
02/06/2013,27202
03/06/2013,29940
04/06/2013,32397
05/06/2013,32488
06/06/2013,32829
07/06/2013,28762
08/06/2013,27264
09/06/2013,19429
10/06/2013,27336
11/06/2013,26601
12/06/2013,24401
13/06/2013,26388
14/06/2013,28797
15/06/2013,16020
16/06/2013,19970
17/06/2013,28611
18/06/2013,30871
19/06/2013,31899
20/06/2013,29959
21/06/2013,28844
22/06/2013,19483
23/06/2013,19006
24/06/2013,27636
25/06/2013,31889
26/06/2013,31156
27/06/2013,27306
28/06/2013,22074
29/06/2013,29054
30/06/2013,31237
01/07/2013,31151
02/07/2013,30163
03/07/2013,30780
04/07/2013,32941
05/07/2013,34704
06/07/2013,34191
07/07/2013,31363
08/07/2013,34263
09/07/2013,35519
10/07/2013,33629
11/07/2013,33792
12/07/2013,33173
13/07/2013,33509
14/07/2013,32169
15/07/2013,34419
16/07/2013,35580
17/07/2013,35203
18/07/2013,35330
19/07/2013,35196
